Experiment,Subject,trueUseWeightGrp_icpt,trueWeightVar_icpt,trueUseWeightGrp_lowmem,trueWeightVar_lowmem,trueUseWeightGrp_highmem,trueWeightVar_highmem,trueRandomResponseGrp,trueRandomScale,trueUseWeightSubj_icpt,trueUseWeightSubj_lowmem,trueUseWeightSubj_highmem,trueRandomResponseSubj,TrialOrder,ItemID,CleanTrialName,TrialType,CogLoad,NormCorrectBeamResponse,WeightSide,ModLeft,ModBal,ModRight,NormBeamResponse
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,1,133,Testing_CW_41,CW,0,L,L,0.54,0.22,0.24,L
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,2,51,Testing_CD_10,CD,0,L,R,0.59,0.23,0.18,R
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,3,9,Testing_CB_16,CB,0,B,L,0.37,0.3,0.33,L
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,4,118,Testing_CW_28,CW,1,L,L,0.920000000000001,0.08,0.0,L
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,5,66,Testing_CD_24,CD,1,L,R,0.69,0.21,0.1,R
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,6,41,Testing_CB_45,CB,1,B,L,0.35,0.22,0.43,R
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,7,112,Testing_CW_22,CW,2,L,L,0.55,0.24,0.21,R
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,8,56,Testing_CD_15,CD,2,L,R,0.54,0.22,0.24,R
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,9,36,Testing_CB_40,CB,2,B,L,0.31,0.31,0.38,L
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,10,101,Testing_CW_12,CW,0,L,L,0.47,0.3,0.23,L
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,11,78,Testing_CD_35,CD,0,L,R,0.51,0.28,0.21,R
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,12,10,Testing_CB_17,CB,0,B,L,0.39,0.26,0.35,L
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,13,142,Testing_CW_7,CW,1,L,L,0.46,0.28,0.26,L
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,14,77,Testing_CD_34,CD,1,L,R,0.66,0.2,0.14,R
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,15,37,Testing_CB_41,CB,1,B,L,0.35,0.27,0.38,L
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,16,143,Testing_CW_8,CW,2,L,L,0.54,0.27,0.19,R
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,17,85,Testing_CD_41,CD,2,L,R,0.67,0.2,0.13,L
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,18,15,Testing_CB_21,CB,2,B,L,0.31,0.27,0.42,L
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,19,144,Testing_CW_9,CW,0,L,L,0.69,0.21,0.1,B
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,20,58,Testing_CD_17,CD,0,L,R,0.53,0.27,0.2,R
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,21,29,Testing_CB_34,CB,0,B,L,0.33,0.32,0.35,L
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,22,127,Testing_CW_36,CW,1,L,L,0.48,0.23,0.29,L
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,23,73,Testing_CD_30,CD,1,L,R,0.45,0.3,0.25,R
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,24,18,Testing_CB_24,CB,1,B,L,0.29,0.33,0.38,R
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,25,113,Testing_CW_23,CW,2,L,L,0.52,0.24,0.24,L
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,26,65,Testing_CD_23,CD,2,L,R,0.47,0.3,0.23,R
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,27,42,Testing_CB_46,CB,2,B,L,0.35,0.28,0.37,R
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,28,120,Testing_CW_3,CW,0,L,L,0.47,0.3,0.23,R
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,29,69,Testing_CD_27,CD,0,L,R,0.64,0.23,0.13,R
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,30,47,Testing_CB_8,CB,0,B,L,0.3,0.29,0.41,B
none,1,-0.4,3.5,0,1.75,0,2.6,0.16,3.1,-0.5128824724403234,2.7360244517585492,-0.9095169939878683,0.221540833305486,31,102,Testing_CW_13,CW,1,L,L,0.8200000000000011,0.14,0.04,L
