Experiment,Subject,trueUseWeightGrp_icpt,trueWeightVar_icpt,trueUseWeightGrp_lowmem,trueWeightVar_lowmem,trueUseWeightGrp_highmem,trueWeightVar_highmem,trueRandomResponseGrp,trueRandomScale,trueUseWeightSubj_icpt,trueUseWeightSubj_lowmem,trueUseWeightSubj_highmem,trueRandomResponseSubj,TrialOrder,ItemID,CleanTrialName,TrialType,CogLoad,NormCorrectBeamResponse,WeightSide,ModLeft,ModBal,ModRight,NormBeamResponse
none,1,0.09999999999999998,3.5,0,1.75,0,2.6,0.16,3.1,8.445916568055454,-3.6590623471335633,0.26258214379384276,0.45170727471060484,1,99,Testing_CW_10,CW,0,L,L,0.55,0.27,0.18,L
none,1,0.09999999999999998,3.5,0,1.75,0,2.6,0.16,3.1,8.445916568055454,-3.6590623471335633,0.26258214379384276,0.45170727471060484,2,61,Testing_CD_2,CD,0,L,R,0.5,0.26,0.24,R
none,1,0.09999999999999998,3.5,0,1.75,0,2.6,0.16,3.1,8.445916568055454,-3.6590623471335633,0.26258214379384276,0.45170727471060484,3,44,Testing_CB_5,CB,0,B,L,0.25,0.28,0.47,L
none,1,0.09999999999999998,3.5,0,1.75,0,2.6,0.16,3.1,8.445916568055454,-3.6590623471335633,0.26258214379384276,0.45170727471060484,4,105,Testing_CW_16,CW,1,L,L,0.57,0.25,0.18,L
none,1,0.09999999999999998,3.5,0,1.75,0,2.6,0.16,3.1,8.445916568055454,-3.6590623471335633,0.26258214379384276,0.45170727471060484,5,78,Testing_CD_35,CD,1,L,R,0.51,0.28,0.21,R
none,1,0.09999999999999998,3.5,0,1.75,0,2.6,0.16,3.1,8.445916568055454,-3.6590623471335633,0.26258214379384276,0.45170727471060484,6,9,Testing_CB_16,CB,1,B,L,0.37,0.3,0.33,L
none,1,0.09999999999999998,3.5,0,1.75,0,2.6,0.16,3.1,8.445916568055454,-3.6590623471335633,0.26258214379384276,0.45170727471060484,7,102,Testing_CW_13,CW,2,L,L,0.8200000000000011,0.14,0.04,R
none,1,0.09999999999999998,3.5,0,1.75,0,2.6,0.16,3.1,8.445916568055454,-3.6590623471335633,0.26258214379384276,0.45170727471060484,8,50,Testing_CD_1,CD,2,L,R,0.47,0.29,0.24,R
none,1,0.09999999999999998,3.5,0,1.75,0,2.6,0.16,3.1,8.445916568055454,-3.6590623471335633,0.26258214379384276,0.45170727471060484,9,7,Testing_CB_14,CB,2,B,L,0.36,0.29,0.35,L
none,1,0.09999999999999998,3.5,0,1.75,0,2.6,0.16,3.1,8.445916568055454,-3.6590623471335633,0.26258214379384276,0.45170727471060484,10,109,Testing_CW_2,CW,0,L,L,0.58,0.23,0.19,B
none,1,0.09999999999999998,3.5,0,1.75,0,2.6,0.16,3.1,8.445916568055454,-3.6590623471335633,0.26258214379384276,0.45170727471060484,11,82,Testing_CD_39,CD,0,L,R,0.6,0.23,0.17,R
none,1,0.09999999999999998,3.5,0,1.75,0,2.6,0.16,3.1,8.445916568055454,-3.6590623471335633,0.26258214379384276,0.45170727471060484,12,41,Testing_CB_45,CB,0,B,L,0.35,0.22,0.43,L
none,1,0.09999999999999998,3.5,0,1.75,0,2.6,0.16,3.1,8.445916568055454,-3.6590623471335633,0.26258214379384276,0.45170727471060484,13,127,Testing_CW_36,CW,1,L,L,0.48,0.23,0.29,L
none,1,0.09999999999999998,3.5,0,1.75,0,2.6,0.16,3.1,8.445916568055454,-3.6590623471335633,0.26258214379384276,0.45170727471060484,14,96,Testing_CD_9,CD,1,L,R,0.57,0.24,0.19,R
none,1,0.09999999999999998,3.5,0,1.75,0,2.6,0.16,3.1,8.445916568055454,-3.6590623471335633,0.26258214379384276,0.45170727471060484,15,20,Testing_CB_26,CB,1,B,L,0.35,0.22,0.43,L
